epoch,phase,train_total,train_charbonnier,train_css,train_edge,train_temp,valid_total,valid_charbonnier,valid_css,valid_edge,valid_temp
1,adapter,0.026193305970210693,0.012234790951205308,0.062224396625390456,0.01902065074749878,0.008207249995645411,0.008248843441662542,0.004167102703222019,0.017419100774671226,0.006258331965107252,0.0021720908835585065
2,adapter,0.02504955420633504,0.011232224500546341,0.06075221939206201,0.01957915532215178,0.007886653783596638,0.007827311352936222,0.00396772560882656,0.016379649696104667,0.0059923352550386505,0.0020417111285496504
3,adapter,0.020625071346020218,0.00922694700112676,0.04970446430511769,0.016466480363846236,0.006491583714512217,0.007877486293642398,0.003929465706460178,0.016775351990123883,0.0061304956619792125,0.0020561855358263367
4,adapter,0.02297755022505846,0.010361230221015457,0.05530249526041222,0.017910087594929576,0.007389277881847032,0.00766944294274949,0.003898313277236679,0.015946680786745514,0.005906471490914769,0.0019783316539627883
5,adapter,0.021087845756932545,0.009473764468052917,0.050958459927568776,0.01651361980572587,0.006675879509666395,0.007635764357195619,0.003865066830835798,0.016014020939302796,0.00585132212145254,0.0019832988927031264
6,adapter,0.021314957323278684,0.009580108617528288,0.05122093653386331,0.016880712183343777,0.006755654000022894,0.007745935499448986,0.0038852637483026177,0.016332696137182853,0.006067800765637966,0.0019720704945297364
7,refine,0.018781318389194307,0.008289730114013176,0.04503480413078342,0.015708498289341014,0.005946676826924911,0.007071421724086737,0.003434961720588891,0.015189464499845224,0.005829861252020826,0.0019206792920800474
8,refine,0.018003042721230645,0.007616091931841391,0.04375117091801858,0.01610499602169117,0.00603275704847975,0.006830572335542563,0.0032651007134357796,0.014705352934406083,0.005828809834715417,0.0019390664470847695
9,refine,0.017555580384385608,0.007552556386422914,0.04194147259443416,0.015428986608683292,0.006260054515088015,0.00683082842048915,0.0032116525724311083,0.014992674793500234,0.005882209857158801,0.001938326351056971
10,refine,0.01605404295397046,0.00687935884891297,0.037593651524646575,0.01480119010820665,0.005753981488953901,0.00661075958461665,0.0031301681404275927,0.014300748341552474,0.005709371926016448,0.001936047465321334
