epoch,phase,train_total,train_charbonnier,train_css,train_edge,train_temp,valid_total,valid_charbonnier,valid_css,valid_edge,valid_temp
1,adapter,0.025881099668742323,0.01206994624397553,0.06136721703224438,0.018995769568904145,0.008069166103359978,0.00894246050978408,0.004430526026579387,0.019590387230410296,0.006684174221556853,0.0023654139789013083
2,adapter,0.02413918577709838,0.011277261442806134,0.05637683030329165,0.018271263115061363,0.007511468230945064,0.008497203708461978,0.004279161374742056,0.018187553375301993,0.006381974574726294,0.0021351429267430348
3,adapter,0.021912236615111505,0.010110321492367588,0.05131194353176825,0.01708244170769082,0.006886347706914908,0.00812017684802413,0.004042512216769597,0.01751999109983444,0.006187409936340854,0.0021218380072455414
4,adapter,0.023334287288804156,0.010759751586695475,0.05480842527590807,0.01799289100927126,0.00754693264539128,0.00799854401334682,0.003997879189110416,0.017107471697689856,0.006153891590314315,0.002037656293524539
5,adapter,0.021407144781380123,0.009733303258305086,0.05053172246193486,0.01709439658865556,0.006752034588691245,0.007969154759912807,0.003925934557200354,0.0171079801477711,0.0063692400334676835,0.0020317506027983175
6,adapter,0.020769024480079466,0.009415266808697625,0.049024607564912434,0.01671175931998251,0.006577142927563486,0.007784021651262746,0.0038815117988954574,0.01669074830818264,0.005990006676053299,0.0020089616499129027
7,refine,0.01872778017731274,0.00843718289911254,0.0442707162892796,0.015158926149134085,0.006182043259888935,0.006941559149281067,0.0033679771332946772,0.01482153791550766,0.005776269273038077,0.0019509732750627924
8,refine,0.017754177393747822,0.007822983404142125,0.041422938894688476,0.015430356066174093,0.006316815970550953,0.006551825656446026,0.0032226834076401942,0.013460570143754867,0.005581398991018753,0.0019377682385418346
9,refine,0.01620104409144808,0.0071011857273440586,0.037488562990898464,0.014416276329842838,0.005933183329887224,0.006283482042250826,0.0031168338294853184,0.012738616266013945,0.005343724653700038,0.0018711079956333647
10,refine,0.015897513725041577,0.006849433979882366,0.03688127796670896,0.014622939337481084,0.005912999229698478,0.006153208141982117,0.003023560406804523,0.01256998632760609,0.005318255474626579,0.0018049861907082445
